ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,total_conversion,approved_conversion,is_zero_spend,ctr,cpc,cost_per_total_conv,cost_per_approved_conv,click_to_enquiry_rate,enquiry_to_purchase_rate,purchased
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,False,0.0003,1.21,8.47,8.47,0.1429,1.0,1
710045,916,104133,45-49,M,16,47224,12,15.82000017,1,0,False,0.0003,1.3183,15.82,,0.0833,0.0,0
710088,916,104140,45-49,M,24,2283,1,1.470000029,1,0,False,0.0004,1.47,1.47,,1.0,0.0,0
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,False,0.0005,1.53,1.53,1.53,1.0,1.0,1
710477,916,104205,30-34,F,16,2654,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,False,0.0002,1.2907,18.07,18.07,0.0714,1.0,1
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,False,0.0003,1.61,1.61,1.61,1.0,1.0,1
710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0,False,0.0002,1.19,1.19,,1.0,0.0,0
710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0,False,0.0002,1.3171,9.22,,0.1429,0.0,0
710628,916,104230,30-34,F,18,1473,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
710682,916,104239,30-34,F,27,1186,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0,False,0.0002,1.51,1.51,,1.0,0.0,0
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,False,0.0003,1.3471,9.43,9.43,0.1429,1.0,1
710867,916,104270,30-34,F,63,1185,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0,False,0.0004,1.392,6.96,,0.2,0.0,0
710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0,False,0.0004,1.22,1.22,,1.0,0.0,0
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,False,0.0003,1.4,2.8,2.8,0.5,1.0,1
711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0,False,0.0004,1.6,1.6,,1.0,0.0,0
711623,916,104396,40-44,F,15,3812,1,1.129999995,2,1,False,0.0003,1.13,0.565,1.13,2.0,0.5,1
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,False,0.0004,1.4325,5.73,5.73,0.25,1.0,1
711785,916,104423,45-49,F,19,292,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
711877,916,104438,45-49,F,63,17572,7,9.379999995,1,0,False,0.0004,1.34,9.38,,0.1429,0.0,0
712052,916,104467,45-49,F,10,1448,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
734209,936,108654,30-34,M,10,1772,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
734210,936,108654,30-34,M,10,13329,4,5.629999995,1,1,False,0.0003,1.4075,5.63,5.63,0.25,1.0,1
734215,936,108655,30-34,M,15,13659,3,3.840000033,1,0,False,0.0002,1.28,3.84,,0.3333,0.0,0
734243,936,108660,30-34,M,21,739,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
734266,936,108664,30-34,M,25,605,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734272,936,108665,30-34,M,26,1030,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734290,936,108668,30-34,M,29,5374,1,1.039999962,4,0,False,0.0002,1.04,0.26,,4.0,0.0,0
734313,936,108672,30-34,M,36,790,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
734314,936,108672,30-34,M,36,962,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734352,936,108678,35-39,M,10,4423,1,1.460000038,1,1,False,0.0002,1.46,1.46,1.46,1.0,1.0,1
734361,936,108680,35-39,M,16,12382,2,2.839999914,1,1,False,0.0002,1.42,2.84,2.84,0.5,1.0,1
734381,936,108683,35-39,M,20,2938,1,1.350000024,1,1,False,0.0003,1.35,1.35,1.35,1.0,1.0,1
734399,936,108686,35-39,M,23,239,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734418,936,108689,35-39,M,26,591,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734421,936,108690,35-39,M,27,10332,4,5.75,1,0,False,0.0004,1.4375,5.75,,0.25,0.0,0
734427,936,108691,35-39,M,28,8259,3,3.980000019,1,0,False,0.0004,1.3267,3.98,,0.3333,0.0,0
734433,936,108692,35-39,M,29,12158,3,4.449999928,1,0,False,0.0002,1.4833,4.45,,0.3333,0.0,0
734582,936,108716,40-44,M,29,7709,2,1.320000052,2,0,False,0.0003,0.66,0.66,,1.0,0.0,0
734605,936,108720,40-44,M,36,834,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734660,936,108729,45-49,M,18,1299,0,0.0,2,0,True,0.0,,0.0,,,0.0,0
734666,936,108730,45-49,M,19,371,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734726,936,108740,45-49,M,29,10466,3,4.090000033,1,0,False,0.0003,1.3633,4.09,,0.3333,0.0,0
734737,936,108742,45-49,M,31,839,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734785,936,108750,30-34,F,10,5576,1,1.529999971,1,1,False,0.0002,1.53,1.53,1.53,1.0,1.0,1
734794,936,108752,30-34,F,16,4010,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734796,936,108752,30-34,F,16,39337,7,10.03000009,1,1,False,0.0002,1.4329,10.03,10.03,0.1429,1.0,1
734800,936,108753,30-34,F,18,1635,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734803,936,108753,30-34,F,18,1631,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734852,936,108761,30-34,F,26,13479,3,4.25,1,0,False,0.0002,1.4167,4.25,,0.3333,0.0,0
734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3,False,0.0002,1.5608,6.7633,6.7633,0.2308,1.0,1
734856,936,108762,30-34,F,27,5453,1,1.389999986,1,1,False,0.0002,1.39,1.39,1.39,1.0,1.0,1
734866,936,108764,30-34,F,29,11803,3,4.440000057,1,0,False,0.0003,1.48,4.44,,0.3333,0.0,0
734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1,False,0.0002,1.57,1.57,1.57,1.0,1.0,1
734901,936,108770,30-34,F,64,1554,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1,False,0.0002,1.29,1.29,1.29,1.0,1.0,1
734925,936,108774,35-39,F,10,5024,1,1.409999967,1,1,False,0.0002,1.41,1.41,1.41,1.0,1.0,1
734939,936,108776,35-39,F,16,104648,24,33.33000004,4,2,False,0.0002,1.3888,8.3325,16.665,0.1667,0.5,1
734968,936,108781,35-39,F,22,8504,3,3.340000093,1,1,False,0.0004,1.1133,3.34,3.34,0.3333,1.0,1
734999,936,108786,35-39,F,27,20277,6,8.050000072,1,0,False,0.0003,1.3417,8.05,,0.1667,0.0,0
735014,936,108788,35-39,F,29,12403,4,5.210000038,1,1,False,0.0003,1.3025,5.21,5.21,0.25,1.0,1
735032,936,108791,35-39,F,32,498,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
735033,936,108792,35-39,F,36,652,0,0.0,0,0,True,0.0,,,,,,0
735043,936,108793,35-39,F,63,1357,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
735048,936,108794,35-39,F,64,1393,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
735065,936,108797,40-44,F,7,648,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
735109,936,108804,40-44,F,21,708,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
735140,936,108809,40-44,F,26,6907,2,2.349999964,1,0,False,0.0003,1.175,2.35,,0.5,0.0,0
735143,936,108810,40-44,F,27,39035,13,19.32999957,1,0,False,0.0003,1.4869,19.33,,0.0769,0.0,0
735151,936,108811,40-44,F,28,926,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
735184,936,108817,40-44,F,63,4412,1,1.450000048,1,0,False,0.0002,1.45,1.45,,1.0,0.0,0
735189,936,108818,40-44,F,64,9965,3,4.050000072,1,0,False,0.0003,1.35,4.05,,0.3333,0.0,0
735213,936,108822,45-49,F,10,73634,23,32.97999978,1,0,False,0.0003,1.4339,32.98,,0.0435,0.0,0
735220,936,108823,45-49,F,15,69708,20,31.28999949,1,0,False,0.0003,1.5645,31.29,,0.05,0.0,0
735242,936,108826,45-49,F,19,530,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
735247,936,108827,45-49,F,20,14257,6,8.789999962,1,0,False,0.0004,1.465,8.79,,0.1667,0.0,0
735289,936,108834,45-49,F,27,20362,5,9.119999886,1,1,False,0.0002,1.824,9.12,9.12,0.2,1.0,1
735290,936,108834,45-49,F,27,12215,4,6.26000011,1,0,False,0.0003,1.565,6.26,,0.25,0.0,0
735298,936,108836,45-49,F,29,85412,28,38.63999999,2,1,False,0.0003,1.38,19.32,38.64,0.0714,0.5,1
736869,936,109448,30-34,M,2,2338,1,0.239999995,1,0,False,0.0004,0.24,0.24,,1.0,0.0,0
736890,936,109451,30-34,M,15,2522,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
736893,936,109452,30-34,M,16,3587,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
736977,936,109470,30-34,M,27,1273,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
736988,936,109472,30-34,M,28,3891,1,1.090000033,1,0,False,0.0003,1.09,1.09,,1.0,0.0,0
736995,936,109473,30-34,M,29,1888,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
736997,936,109473,30-34,M,29,1895,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
737097,936,109498,35-39,M,7,715,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
737130,936,109507,35-39,M,16,11199,2,2.680000067,1,0,False,0.0002,1.34,2.68,,0.5,0.0,0
737320,936,109553,35-39,M,63,5676,2,3.00999999,1,0,False,0.0004,1.505,3.01,,0.5,0.0,0
737375,936,109565,40-44,M,10,1415,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
737524,936,109601,40-44,M,30,2148,1,1.580000043,1,1,False,0.0005,1.58,1.58,1.58,1.0,1.0,1
737644,936,109629,45-49,M,16,45401,10,14.06000042,1,0,False,0.0002,1.406,14.06,,0.1,0.0,0
737657,936,109633,45-49,M,18,7478,2,2.900000095,1,1,False,0.0003,1.45,2.9,2.9,0.5,1.0,1
737658,936,109633,45-49,M,18,4919,1,1.590000033,1,0,False,0.0002,1.59,1.59,,1.0,0.0,0
737674,936,109637,45-49,M,20,533,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
737766,936,109659,45-49,M,29,1447,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
737896,936,109689,30-34,F,16,17553,3,4.590000153,1,0,False,0.0002,1.53,4.59,,0.3333,0.0,0
737931,936,109698,30-34,F,20,3343,1,0.540000021,1,0,False,0.0003,0.54,0.54,,1.0,0.0,0
737961,936,109706,30-34,F,23,523,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
737995,936,109714,30-34,F,26,1873,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738006,936,109717,30-34,F,27,34740,7,13.41000009,1,1,False,0.0002,1.9157,13.41,13.41,0.1429,1.0,1
738067,936,109731,30-34,F,32,658,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738098,936,109738,30-34,F,64,1539,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738307,936,109788,35-39,F,31,3010,1,0.860000014,1,1,False,0.0003,0.86,0.86,0.86,1.0,1.0,1
738389,936,109808,40-44,F,10,27081,9,10.77000046,1,1,False,0.0003,1.1967,10.77,10.77,0.1111,1.0,1
738408,936,109813,40-44,F,16,20233,4,5.590000153,3,0,False,0.0002,1.3975,1.8633,,0.75,0.0,0
738413,936,109813,40-44,F,16,147159,36,58.16000044,3,1,False,0.0002,1.6156,19.3867,58.16,0.0833,0.3333,1
738423,936,109816,40-44,F,18,21664,7,10.61999977,1,1,False,0.0003,1.5171,10.62,10.62,0.1429,1.0,1
738436,936,109820,40-44,F,19,9112,4,5.460000038,1,1,False,0.0004,1.365,5.46,5.46,0.25,1.0,1
738463,936,109826,40-44,F,21,542,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738528,936,109839,40-44,F,30,402,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
738560,936,109844,40-44,F,64,1338,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738582,936,109848,45-49,F,10,46150,15,20.17999983,1,1,False,0.0003,1.3453,20.18,20.18,0.0667,1.0,1
738592,936,109850,45-49,F,16,493821,116,176.3799977,4,1,False,0.0002,1.5205,44.095,176.38,0.0345,0.25,1
738593,936,109850,45-49,F,16,92011,27,34.39000046,2,1,False,0.0003,1.2737,17.195,34.39,0.0741,0.5,1
738598,936,109851,45-49,F,18,12956,4,5.49000001,1,1,False,0.0003,1.3725,5.49,5.49,0.25,1.0,1
738606,936,109852,45-49,F,19,529,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
738637,936,109857,45-49,F,24,944,1,1.419999957,1,0,False,0.0011,1.42,1.42,,1.0,0.0,0
738648,936,109859,45-49,F,26,111090,38,51.97000027,5,1,False,0.0003,1.3676,10.394,51.97,0.1316,0.2,1
747212,936,110836,30-34,M,10,7208,2,3.190000057,1,0,False,0.0003,1.595,3.19,,0.5,0.0,0
747213,936,110836,30-34,M,10,1746,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
747220,936,110837,30-34,M,15,2474,0,0.0,2,2,True,0.0,,0.0,0.0,,1.0,1
747222,936,110838,30-34,M,16,12489,2,1.960000038,1,0,False,0.0002,0.98,1.96,,0.5,0.0,0
747223,936,110838,30-34,M,16,8032,1,0.600000024,2,0,False,0.0001,0.6,0.3,,2.0,0.0,0
747248,936,110842,30-34,M,21,472,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747332,936,110856,30-34,M,64,792,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747362,936,110861,35-39,M,15,4607,1,1.149999976,1,1,False,0.0002,1.15,1.15,1.15,1.0,1.0,1
747369,936,110862,35-39,M,16,13355,2,3.180000067,1,1,False,0.0001,1.59,3.18,3.18,0.5,1.0,1
747370,936,110862,35-39,M,16,2936,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
747401,936,110867,35-39,M,22,2793,1,0.980000019,1,1,False,0.0004,0.98,0.98,0.98,1.0,1.0,1
747435,936,110873,35-39,M,28,1032,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
747439,936,110874,35-39,M,29,1662,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747489,936,110882,40-44,M,2,4016,2,1.480000049,1,1,False,0.0005,0.74,1.48,1.48,0.5,1.0,1
747514,936,110886,40-44,M,16,14843,3,2.939999938,1,1,False,0.0002,0.98,2.94,2.94,0.3333,1.0,1
747645,936,110908,45-49,M,10,9674,3,4.600000024,1,1,False,0.0003,1.5333,4.6,4.6,0.3333,1.0,1
747659,936,110910,45-49,M,16,12186,2,2.669999957,1,0,False,0.0002,1.335,2.67,,0.5,0.0,0
747675,936,110913,45-49,M,20,673,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
747678,936,110914,45-49,M,21,370,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747712,936,110919,45-49,M,26,450,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747790,936,110932,30-34,F,10,2077,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747791,936,110932,30-34,F,10,31393,8,10.96000051,1,1,False,0.0003,1.37,10.96,10.96,0.125,1.0,1
747795,936,110933,30-34,F,15,8410,2,2.359999895,1,1,False,0.0002,1.18,2.36,2.36,0.5,1.0,1
747798,936,110934,30-34,F,16,25884,5,7.350000143,1,0,False,0.0002,1.47,7.35,,0.2,0.0,0
747824,936,110938,30-34,F,21,608,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747828,936,110939,30-34,F,22,28488,10,9.340000033,1,0,False,0.0004,0.934,9.34,,0.1,0.0,0
747852,936,110943,30-34,F,26,10126,3,4.619999886,1,0,False,0.0003,1.54,4.62,,0.3333,0.0,0
747859,936,110944,30-34,F,27,22572,5,8.5,1,0,False,0.0002,1.7,8.5,,0.2,0.0,0
747863,936,110944,30-34,F,27,1955,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747879,936,110947,30-34,F,30,493,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
747903,936,110951,30-34,F,63,1491,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747911,936,110952,30-34,F,64,1495,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
747968,936,110962,35-39,F,21,512,0,0.0,0,0,True,0.0,,,,,,0
747991,936,110966,35-39,F,25,4868,2,2.420000076,1,0,False,0.0004,1.21,2.42,,0.5,0.0,0
748000,936,110967,35-39,F,26,6585,2,2.950000048,1,0,False,0.0003,1.475,2.95,,0.5,0.0,0
748007,936,110968,35-39,F,27,10164,2,3.720000029,1,1,False,0.0002,1.86,3.72,3.72,0.5,1.0,1
748014,936,110970,35-39,F,29,11182,4,4.449999809,1,0,False,0.0004,1.1125,4.45,,0.25,0.0,0
748045,936,110975,35-39,F,63,1238,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
748086,936,110982,40-44,F,16,34127,8,13.07000017,1,0,False,0.0002,1.6338,13.07,,0.125,0.0,0
748087,936,110982,40-44,F,16,29466,7,10.84999967,2,0,False,0.0002,1.55,5.425,,0.2857,0.0,0
748089,936,110982,40-44,F,16,38759,9,10.84999967,1,0,False,0.0002,1.2056,10.85,,0.1111,0.0,0
748091,936,110982,40-44,F,16,41720,10,12.06000006,1,1,False,0.0002,1.206,12.06,12.06,0.1,1.0,1
748225,936,111005,45-49,F,15,18602,5,8.860000134,1,0,False,0.0003,1.772,8.86,,0.2,0.0,0
748230,936,111006,45-49,F,16,83929,21,27.72999954,4,1,False,0.0003,1.3205,6.9325,27.73,0.1905,0.25,1
748231,936,111006,45-49,F,16,25194,6,7.349999905,1,0,False,0.0002,1.225,7.35,,0.1667,0.0,0
748233,936,111006,45-49,F,16,78627,19,26.53000045,1,0,False,0.0002,1.3963,26.53,,0.0526,0.0,0
748235,936,111006,45-49,F,16,102695,25,39.42999983,3,0,False,0.0002,1.5772,13.1433,,0.12,0.0,0
748294,936,111016,45-49,F,27,82827,24,47.93000031,3,0,False,0.0003,1.9971,15.9767,,0.125,0.0,0
748295,936,111016,45-49,F,27,9240,3,6.039999962,1,0,False,0.0003,2.0133,6.04,,0.3333,0.0,0
748303,936,111018,45-49,F,29,7706,2,2.369999886,1,0,False,0.0003,1.185,2.37,,0.5,0.0,0
748314,936,111020,45-49,F,31,7821,4,6.340000153,1,1,False,0.0005,1.585,6.34,6.34,0.25,1.0,1
748341,936,111024,45-49,F,64,1363,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
776318,936,115484,45-49,F,15,3569,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
776322,936,115485,45-49,F,16,119063,34,53.21999949,1,0,False,0.0003,1.5653,53.22,,0.0294,0.0,0
776323,936,115485,45-49,F,16,99078,23,35.79999948,2,0,False,0.0002,1.5565,17.9,,0.087,0.0,0
776325,936,115485,45-49,F,16,452398,114,180.2200012,1,0,False,0.0003,1.5809,180.22,,0.0088,0.0,0
776334,936,115487,45-49,F,10,191223,48,76.41000056,1,0,False,0.0003,1.5919,76.41,,0.0208,0.0,0
776336,936,115487,45-49,F,10,22216,6,9.549999952,1,0,False,0.0003,1.5917,9.55,,0.1667,0.0,0
776338,936,115487,45-49,F,10,48291,11,18.01999998,1,0,False,0.0002,1.6382,18.02,,0.0909,0.0,0
776353,936,115490,40-44,F,63,27559,8,13.37,1,0,False,0.0003,1.6712,13.37,,0.125,0.0,0
776373,936,115493,45-49,F,25,10194,4,4.590000033,2,1,False,0.0004,1.1475,2.295,4.59,0.5,0.5,1
776383,936,115495,45-49,F,23,1168,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
776405,936,115498,45-49,F,21,40126,16,25.86000001,1,0,False,0.0004,1.6163,25.86,,0.0625,0.0,0
776416,936,115500,45-49,F,19,3659,1,0.49000001,1,1,False,0.0003,0.49,0.49,0.49,1.0,1.0,1
776430,936,115503,30-34,M,10,3200,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
776464,936,115508,45-49,F,29,7550,1,1.679999948,1,1,False,0.0001,1.68,1.68,1.68,1.0,1.0,1
776469,936,115509,45-49,F,28,45397,15,25.41999936,1,1,False,0.0003,1.6947,25.42,25.42,0.0667,1.0,1
776473,936,115510,30-34,M,16,23086,2,3.310000062,1,1,False,0.0001,1.655,3.31,3.31,0.5,1.0,1
776475,936,115510,30-34,M,16,16425,1,1.549999952,1,0,False,0.0001,1.55,1.55,,1.0,0.0,0
776476,936,115510,30-34,M,16,43756,5,5.439999938,0,0,False,0.0001,1.088,,,0.0,,0
776477,936,115510,30-34,M,16,9982,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
776489,936,115512,45-49,F,26,175389,55,81.60999787,1,0,False,0.0003,1.4838,81.61,,0.0182,0.0,0
776494,936,115513,30-34,M,15,7015,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
776515,936,115517,45-49,F,65,12706,3,4.98999989,1,1,False,0.0002,1.6633,4.99,4.99,0.3333,1.0,1
776519,936,115517,45-49,F,65,70702,20,31.7099998,1,0,False,0.0003,1.5855,31.71,,0.05,0.0,0
776533,936,115520,45-49,F,63,63927,16,25.52000046,2,0,False,0.0003,1.595,12.76,,0.125,0.0,0
776534,936,115520,45-49,F,63,15105,3,4.25999999,1,0,False,0.0002,1.42,4.26,,0.3333,0.0,0
776538,936,115521,30-34,F,15,8774,1,1.830000043,1,0,False,0.0001,1.83,1.83,,1.0,0.0,0
776551,936,115523,30-34,F,16,14459,1,1.389999986,1,0,False,0.0001,1.39,1.39,,1.0,0.0,0
776552,936,115523,30-34,F,16,21596,2,2.809999943,1,0,False,0.0001,1.405,2.81,,0.5,0.0,0
776553,936,115523,30-34,F,16,66765,8,11.04999971,1,0,False,0.0001,1.3812,11.05,,0.125,0.0,0
776563,936,115525,30-34,F,7,1369,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
776579,936,115527,30-34,F,10,26910,5,7.229999781,1,0,False,0.0002,1.446,7.23,,0.2,0.0,0
776603,936,115531,30-34,F,2,506,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
776615,936,115533,45-49,M,63,11988,3,4.269999862,1,0,False,0.0003,1.4233,4.27,,0.3333,0.0,0
776623,936,115535,45-49,M,64,19353,6,9.4799999,1,1,False,0.0003,1.58,9.48,9.48,0.1667,1.0,1
776631,936,115536,40-44,M,29,10960,2,2.890000105,1,0,False,0.0002,1.445,2.89,,0.5,0.0,0
776643,936,115538,30-34,M,15,33491,6,10.56999969,2,1,False,0.0002,1.7617,5.285,10.57,0.3333,0.5,1
776644,936,115538,30-34,M,15,20083,2,3.200000048,2,1,False,0.0001,1.6,1.6,3.2,1.0,0.5,1
776659,936,115541,30-34,M,16,8817,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
776661,936,115541,30-34,M,16,15466,1,0.970000029,1,0,False,0.0001,0.97,0.97,,1.0,0.0,0
776662,936,115541,30-34,M,16,27072,3,4.370000005,1,0,False,0.0001,1.4567,4.37,,0.3333,0.0,0
776663,936,115541,30-34,M,16,15753,1,0.569999993,1,1,False,0.0001,0.57,0.57,0.57,1.0,1.0,1
776668,936,115542,40-44,M,19,3523,1,1.809999943,1,1,False,0.0003,1.81,1.81,1.81,1.0,1.0,1
776685,936,115545,40-44,M,16,7745,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
776686,936,115545,40-44,M,16,18709,2,3.319999933,1,0,False,0.0001,1.66,3.32,,0.5,0.0,0
